Country name,NOC,Gold,Silver,Bronze,Total
Norway,NOR,6,6,6,18
Canada,CAN,5,2,2,9
Germany,GER,4,3,3,10
Austria,AUT,4,0,3,7
United States,USA,3,5,0,8
Republic of Korea,KOR,3,3,4,10
Netherlands,NED,3,3,1,7
France,FRA,3,1,2,6
Switzerland,SUI,2,3,1,6
Japan,JPN,1,3,1,5
People's Republic of China,CHN,1,1,1,3
Sweden,SWE,1,1,0,2
Finland,FIN,1,0,0,1
Poland,POL,1,0,0,1
Ukraine,UKR,1,0,0,1
Russian Olympic Committee,ROC,0,2,6,8
Australia,AUS,0,2,1,3
Italy,ITA,0,1,2,3
Slovenia,SLO,0,1,1,2
Belgium,BEL,0,1,0,1
Czech Republic,CZE,0,1,0,1
Great Britain,GBR,0,0,2,2
Spain,ESP,0,0,2,2
New Zealand,NZL,0,0,1,1


