Country,Total medals
United States,66
China,47
Japan,30
Australia,22
ROC,32
Great Britain,23
New Zealand,11
Canada,18
Netherlands,21
Germany,12
Brazil,9
Switzerland,10
Jamaica,7
Bulgaria,6
France,15
Italy,15
Republic of Korea,8
Kenya,5
Serbia,4
Belgium,2
Kosovo,2
Poland,8
Spain,6
South Africa,3
Chinese Taipei,6
Hungary,5
Denmark,5
Turkey,5
Austria,4
Czech Republic,2
Slovenia,2
Ecuador,2
Romania,2
Philippines,2
Egypt,3
Ireland,2
Israel,2
Indonesia,2
Estonia,2
Thailand,2
Croatia,1
Uganda,1
Bahamas,1
Venezuela,1
Slovakia,1
Bermuda,1
Puerto Rico,1
Ukraine,11
Sweden,3
"Hong Kong, China",5
Belarus,4
Colombia,2
India,3
Azerbaijan,3
Cuba,2
Dominican Rep.,2
Kyrgyzstan,2
Nigeria,2
Portugal,1
Argentina,1
Bahrain,1
Lithuania,1
Namibia,1
Turkmenistan,1
Ethiopia,2
Mongolia,2
Kazakhstan,2
Mexico,2
Norway,1
Fiji,1
San Marino,1
Finland,1
Côte d'Ivoire,1
